Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/19/2026 5:42:00,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,2,"Interstellar, My Neighbor Totoro","Frozen, KPop Demon Hunters",,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 9:05:39,ME,Pen-and-paper math,I like it and I use it wherever possible.,I only use AI to check my answers.,14,9,"Avatar: Fire and Ash, Spider-Man: Across the Spiderverse, Superman (2025)","Avengers: Endgame, Barbie, Frozen, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker",Get Out,KPop Demon Hunters,Dune,"Titanic, Wicked"
1/19/2026 10:33:08,BME,"Collecting data (in a ""wet lab"" or other setting)",I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,10,"Avengers: Endgame, Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse","Barbie, Frozen, Superman (2025)","Star Wars: The Rise of Skywalker, Titanic",,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Wicked"
1/19/2026 11:01:59,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,15,"Avengers: Endgame, Barbie, Interstellar, KPop Demon Hunters","Avatar: Fire and Ash, Frozen, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Star Wars: The Rise of Skywalker, Titanic, Wicked",,,"Dune, Get Out, Superman (2025)"
1/19/2026 11:29:43,CE,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,5,,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/19/2026 14:02:44,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,4,"Avengers: Endgame, Dune, Interstellar","Avatar: Fire and Ash, Frozen, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker","KPop Demon Hunters, Superman (2025)",,,"Barbie, Get Out, My Neighbor Totoro, Titanic, Wicked"
1/19/2026 14:27:57,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,9,"Avengers: Endgame, Frozen, Interstellar, Titanic","Barbie, Wicked",Dune,,,"Avatar: Fire and Ash, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/19/2026 14:33:44,ME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,8,"Frozen, My Neighbor Totoro","Dune, Get Out, Titanic","Barbie, Wicked",,,"Avatar: Fire and Ash, Avengers: Endgame, Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/19/2026 15:15:26,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,1,"Avengers: Endgame, Barbie",,,,,"Avatar: Fire and Ash, Dune"
1/19/2026 15:19:16,ME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I only use AI to check my answers.,14,6,"Avengers: Endgame, Barbie, Spider-Man: Across the Spiderverse",Frozen,Star Wars: The Rise of Skywalker,,,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Titanic, Wicked"
