index,error
940,0.027442
941,0.022441
942,0.017441
943,0.012442
944,0.024164
945,0.019164
946,0.014164
947,0.025887
948,0.020886
949,0.032609
950,0.027609
951,0.022609
952,0.017609
953,0.029331
954,0.024331
955,0.019331
956,0.014331
957,0.026053
958,0.021053
959,0.016053
960,0.027776
961,0.022776
962,0.017776
963,0.029498
964,0.024498
965,0.019498
966,0.031221
967,0.026221
968,0.021221
969,0.016221
970,0.027943
971,0.022943
972,0.017943
973,0.012943
974,0.024666
975,0.019666
976,0.031388
977,0.026388
978,0.021388
979,0.03311
980,0.02811
981,0.02311
982,0.01811
983,0.01311
984,0.024833
985,0.019833
986,0.014833
987,0.026555
988,0.021555
989,0.033278
990,0.028278
991,0.023278
992,0.018278
993,0.03
994,0.025
995,0.02
996,0.015
997,0.026723
998,0.021723
999,0.016723
1000,0.028445
1001,0.023445
1002,0.018445
1003,0.030167
1004,0.025167
1005,0.020167
1006,0.03189
1007,0.02689
1008,0.02189
1009,0.01689
1010,0.01189
1011,0.023612
1012,0.018612
1013,0.030334
1014,0.025335
1015,0.020335
1016,0.015335
1017,0.027057
1018,0.022057
1019,0.03378
1020,0.02878
1021,0.023779
1022,0.01878
1023,0.01378
1024,0.025502
1025,0.020502
1026,0.015501
1027,0.027224
1028,0.022224
1029,0.017224
1030,0.028946
1031,0.023947
1032,0.018947
1033,0.030669
1034,0.025669
1035,0.020669
1036,0.015669
1037,0.010669
1038,0.022391
1039,0.017392
1040,0.029114
1041,0.024114
1042,0.019114
1043,0.014114
1044,0.025836
1045,0.020836
1046,0.032558
1047,0.027559
1048,0.022559
1049,0.017559
1050,0.029281
1051,0.024281
1052,0.019281
1053,0.031003
1054,0.026003
1055,0.021003
1056,0.016004
1057,0.027726
1058,0.022726
1059,0.034448
1060,0.029449
1061,0.024448
1062,0.019448
1063,0.014448
1064,0.026171
1065,0.021171
1066,0.016171
1067,0.027893
1068,0.022893
1069,0.017893
1070,0.029615
1071,0.024615
1072,0.019616
1073,0.031338
1074,0.026338
1075,0.021338
1076,0.016337
1077,0.011338
1078,0.02306
1079,0.01806
1080,0.029782
1081,0.024783
1082,0.019783
1083,0.031505
1084,0.026505
1085,0.021505
1086,0.033227
1087,0.028227
1088,0.023227
1089,0.018228
1090,0.013227
1091,0.02495
1092,0.01995
